id1,id2,shared_word_count
48655,125227,28.0
65888,138252,16.0
92091,63536,21.0
85366,111805,15.0
133804,33667,15.0
34496,135982,14.0
100701,62651,19.0
130835,56033,15.0
5384,32783,15.0
25417,18943,31.0
5983,93389,17.0
84214,93115,27.0
938,3621,45.0
68734,37017,27.0
15990,102913,14.0
54963,4114,17.0
82660,23683,21.0
32918,107752,15.0
29396,81447,19.0
132298,8549,11.0
113623,125888,17.0
48872,19876,27.0
28151,12760,0.0
25871,29169,22.0
102374,85393,30.0
87511,15737,20.0
26520,112088,13.0
12767,99472,20.0
49391,68300,16.0
37286,37388,26.0
128726,17354,11.0
2221,15750,27.0
47623,54838,12.0
35052,32337,21.0
26583,62252,29.0
16140,41472,23.0
15065,61385,14.0
78103,24457,10.0
105436,9341,25.0
60292,65688,27.0
49359,97024,10.0
39864,39930,31.0
786,125477,17.0
55657,94688,23.0
289,132803,0.0
87167,73167,19.0
5068,16960,26.0
104241,37418,15.0
61387,129775,21.0
6826,15968,21.0
47097,51220,45.0
58958,58954,27.0
36191,55302,24.0
55345,104754,25.0
17763,17817,25.0
71993,16878,14.0
118312,105344,15.0
65410,60283,0.0
42905,88452,20.0
46520,65115,8.0
10514,59105,22.0
78315,88696,10.0
125361,107743,26.0
29894,41064,12.0
43341,40205,27.0
104246,82119,17.0
24756,49192,27.0
58954,14238,16.0
34729,136895,0.0
47338,101936,7.0
13308,65713,20.0
117587,22481,0.0
106566,52678,12.0
116891,30630,10.0
92884,12010,21.0
52408,127622,10.0
30979,15942,18.0
80935,32916,0.0
134837,129715,15.0
103912,103496,22.0
66305,1020,22.0
70699,101626,28.0
36010,71246,8.0
20953,21687,14.0
1612,2292,16.0
104650,135416,11.0
115462,88153,9.0
43270,16665,9.0
11860,2052,23.0
2761,93196,22.0
132357,100528,14.0
108255,125859,14.0
17723,54008,27.0
21096,106662,20.0
10589,12051,23.0
55492,117303,21.0
45992,27322,14.0
46323,41691,11.0
6262,50431,22.0
111656,104175,9.0
133980,117894,0.0
65297,91406,13.0
17426,40859,23.0
70335,70331,27.0
110393,100881,17.0
100015,68775,15.0
102174,48575,15.0
30360,66210,25.0
6650,79294,27.0
113645,92031,21.0
6941,75457,16.0
102645,131579,14.0
122245,67620,19.0
38400,88968,16.0
48242,117265,22.0
135936,28605,0.0
47142,20098,10.0
11169,11587,16.0
69245,132988,19.0
69244,137893,0.0
100607,3945,19.0
94914,66712,17.0
118398,41416,16.0
64723,114423,16.0
132008,18564,10.0
135142,48668,20.0
97354,93507,0.0
20344,56353,21.0
61965,7518,14.0
65991,110310,0.0
40982,40429,19.0
8683,126006,13.0
18052,99102,17.0
96242,135325,0.0
38949,4978,25.0
7693,39527,20.0
115881,8827,20.0
19643,49201,25.0
66953,39106,14.0
12890,48862,21.0
36777,32764,18.0
85471,49788,23.0
18749,36291,23.0
48397,80398,16.0
51110,28811,13.0
71542,15420,15.0
53342,41128,0.0
107270,46260,17.0
128318,64694,13.0
129071,71728,20.0
100593,128623,10.0
47300,47297,28.0
33254,100777,29.0
101695,77534,14.0
82957,98409,21.0
65187,10180,33.0
30496,57914,8.0
87998,123671,19.0
20581,112836,19.0
2348,4029,29.0
136694,88238,20.0
11767,41543,25.0
54678,35403,13.0
120484,61271,16.0
72017,102953,14.0
5744,17528,32.0
18733,126758,17.0
112011,78181,0.0
101364,2634,15.0
7989,23220,9.0
43066,58496,0.0
1325,2530,16.0
60778,92334,18.0
55438,55447,15.0
18784,34964,21.0
41754,25806,13.0
32793,96258,21.0
79229,6987,0.0
34669,59467,31.0
135610,28947,0.0
110041,37821,3.0
89730,112290,14.0
88110,131361,14.0
8004,83011,0.0
86882,134214,18.0
7302,17594,29.0
38640,38722,0.0
7708,131423,23.0
47369,8155,17.0
101074,24777,12.0
115553,105899,16.0
23512,117266,14.0
88880,33729,10.0
103994,96893,10.0
11773,27024,22.0
9396,66277,22.0
110257,90988,14.0
10476,11181,11.0
66715,99373,26.0
17322,133906,14.0
59806,74707,15.0
96595,96597,27.0
84730,82353,23.0
99865,60741,17.0
93399,18398,19.0
71865,80099,23.0
95310,79447,22.0
50619,58144,24.0
49628,72510,16.0
1947,39130,17.0
75930,75925,27.0
104188,122841,16.0
17312,15333,24.0
65655,75446,14.0
16340,87108,0.0
65396,80781,19.0
31595,24520,24.0
82424,7918,16.0
94085,37010,10.0
91638,59398,15.0
25830,51489,18.0
121553,102098,23.0
87969,97248,17.0
55068,55248,29.0
64698,44474,28.0
86077,89811,19.0
119836,39979,18.0
111533,15579,12.0
115009,57296,11.0
85828,36552,22.0
22740,46016,16.0
15126,568,17.0
23333,127804,12.0
50486,62198,15.0
46853,30022,20.0
26806,95915,0.0
12450,12214,34.0
21464,68577,18.0
14580,17275,14.0
8180,19184,16.0
4854,19071,16.0
134118,126841,17.0
6101,6198,26.0
27090,12486,18.0
120781,60981,18.0
4996,27770,28.0
13150,118552,16.0
7204,24201,22.0
103809,43202,14.0
124243,55416,14.0
24751,32306,14.0
6882,6679,16.0
127257,9728,24.0
2509,1389,23.0
47427,130888,13.0
56757,73768,11.0
39983,76950,27.0
8550,40937,9.0
58551,133874,21.0
129602,4486,17.0
73173,73762,31.0
57100,77742,22.0
45356,69887,10.0
72025,17487,25.0
35874,18337,20.0
2112,17364,16.0
17102,128158,28.0
101607,109271,14.0
25652,78630,25.0
16230,30643,16.0
98781,112458,11.0
14184,96756,23.0
20419,89406,12.0
5000,5609,30.0
48232,25821,27.0
34932,94516,18.0
76456,115851,16.0
13303,32665,15.0
28073,82173,18.0
21958,19071,26.0
122632,42050,23.0
25640,73736,17.0
95089,93204,12.0
43727,45342,15.0
117789,6812,11.0
113487,70595,18.0
17400,114121,11.0
10970,108627,20.0
24594,25702,34.0
8399,92701,19.0
9388,15924,28.0
69022,114666,23.0
5425,7196,26.0
35645,18212,23.0
65676,21116,0.0
49231,90514,20.0
24516,16642,13.0
89450,89464,19.0
14421,16839,20.0
15998,52823,27.0
74409,122152,17.0
99643,24697,14.0
6448,124754,25.0
106311,19929,15.0
46656,100104,21.0
8617,114806,0.0
64939,72027,22.0
29811,72921,17.0
32202,112761,12.0
92267,134382,6.0
103315,108215,29.0
9518,9542,13.0
52298,83889,0.0
81649,68683,32.0
34689,40152,13.0
129093,112113,0.0
19525,5138,32.0
2445,30048,17.0
124745,91619,26.0
10457,67096,11.0
133670,70621,14.0
51083,78440,11.0
107140,134365,4.0
117246,134072,7.0
79324,41097,13.0
80084,80087,14.0
93732,51198,18.0
96059,57633,11.0
61783,94326,37.0
113004,3301,23.0
13768,102365,17.0
38174,61611,17.0
109493,73331,11.0
36033,79191,21.0
33599,74849,18.0
134600,39207,18.0
96596,22485,0.0
125313,65157,19.0
24299,130221,0.0
63018,34990,24.0
72415,116839,18.0
13608,20743,33.0
29890,79954,11.0
14367,81208,33.0
57961,107812,19.0
51047,138235,0.0
38901,46024,20.0
137268,126705,15.0
103865,75675,20.0
2711,86410,16.0
103735,76438,9.0
427,78020,8.0
16450,29900,14.0
121056,130122,16.0
26478,26506,0.0
90834,55549,0.0
41486,105736,26.0
61122,10879,19.0
21414,10792,21.0
9326,97243,39.0
134603,123513,0.0
50876,21806,10.0
119203,93779,14.0
66367,48709,24.0
46715,103566,14.0
8731,31320,16.0
43659,90187,12.0
13660,132245,15.0
6650,13598,26.0
125808,84063,13.0
26202,33851,10.0
29965,89598,26.0
70902,55406,10.0
64173,78302,23.0
99845,76264,15.0
97679,77463,13.0
24776,33298,20.0
95459,48024,17.0
21245,35643,8.0
33547,18847,26.0
93689,22865,16.0
4390,25679,30.0
3694,49189,21.0
3756,92756,0.0
28965,121285,0.0
100739,48349,0.0
24843,75340,19.0
112697,94223,22.0
82159,46544,17.0
119819,13157,17.0
91547,117592,17.0
111021,128375,12.0
8360,17779,18.0
15437,9973,23.0
22365,9889,21.0
6606,14955,26.0
61555,49494,12.0
47571,132717,17.0
796,3258,13.0
107932,97860,14.0
122335,8572,16.0
74903,104293,23.0
26187,26151,27.0
53863,125328,16.0
57214,101281,14.0
84617,19680,16.0
92261,120481,21.0
36409,21479,13.0
26606,17295,17.0
47281,47191,22.0
23077,48196,17.0
9736,86490,21.0
134930,115566,21.0
108269,32954,19.0
42244,120400,20.0
133620,112989,18.0
37649,91149,13.0
13256,13159,25.0
118436,69655,21.0
84790,71821,18.0
79279,38444,14.0
7641,112431,14.0
119291,70093,0.0
122252,84364,28.0
25088,46642,21.0
51191,27415,21.0
29309,74717,21.0
16120,116360,23.0
9708,25394,27.0
2442,10950,21.0
127832,83742,21.0
1377,3859,30.0
105104,122838,22.0
10815,5760,25.0
56926,106594,25.0
20336,18032,29.0
86626,105417,11.0
81666,100611,18.0
120097,15169,22.0
77896,136708,18.0
40428,106582,0.0
26858,69755,17.0
65990,17728,21.0
76348,81854,0.0
91259,41739,0.0
65647,116854,14.0
127052,21966,11.0
109125,82113,24.0
13706,5708,20.0
16155,38585,17.0
79689,49843,22.0
18831,123990,22.0
3697,69808,22.0
71384,71446,27.0
36732,91813,16.0
133315,114266,13.0
133441,133443,30.0
15275,81055,14.0
53881,5189,22.0
106336,106248,20.0
10073,66589,32.0
30903,64152,0.0
29791,10170,21.0
136510,2151,0.0
118153,50760,12.0
31033,132091,15.0
48231,103243,25.0
31075,31093,25.0
45175,35336,12.0
73201,126766,0.0
104496,103649,22.0
53731,115588,10.0
45914,119228,20.0
78404,17569,22.0
68104,116641,22.0
103485,106054,28.0
11740,72472,18.0
79508,84843,18.0
34162,34078,23.0
27145,88988,21.0
10102,6184,24.0
77345,23090,0.0
19804,40071,20.0
4325,114249,17.0
33293,45879,28.0
71649,112715,11.0
100372,69666,18.0
116930,17862,24.0
122363,82132,26.0
105742,53392,18.0
80155,74494,15.0
6391,88133,11.0
137508,128702,0.0
5948,37692,23.0
34310,98722,41.0
120629,87399,14.0
73653,120329,16.0
51234,74183,25.0
4860,6779,20.0
101413,102118,31.0
88032,7137,23.0
94371,133368,15.0
107600,6705,21.0
71934,97051,18.0
65424,51651,20.0
112870,11155,13.0
13287,54685,15.0
5605,136908,0.0
14186,11618,27.0
83237,20769,0.0
1039,115681,12.0
29186,125453,16.0
89407,132155,11.0
111292,105309,17.0
14421,16591,21.0
124030,34551,18.0
56104,62596,16.0
103737,104696,28.0
135313,114202,17.0
22726,95242,30.0
47638,15580,22.0
68119,12645,11.0
87655,129772,12.0
37862,132215,0.0
92650,131173,15.0
132666,49485,16.0
88844,78680,28.0
72660,68163,18.0
96813,10251,19.0
130389,118010,12.0
76037,57570,31.0
137082,9783,29.0
90996,98322,30.0
9006,4874,17.0
65534,113363,21.0
88283,18072,22.0
42804,7254,23.0
42435,73222,22.0
5587,62595,14.0
63641,10893,21.0
17010,81246,17.0
4008,63537,22.0
11857,3024,0.0
16681,97428,16.0
10766,64410,14.0
59565,59618,19.0
80585,67708,17.0
27086,18008,21.0
92450,6784,16.0
138236,58231,13.0
11882,20752,9.0
87622,63527,21.0
97016,20822,19.0
73384,67346,14.0
100786,304,24.0
20262,88521,24.0
29361,103375,10.0
14843,54776,33.0
16198,136205,0.0
10766,83833,15.0
22829,49715,16.0
116506,84380,10.0
128627,88615,14.0
135544,57202,15.0
129718,1132,12.0
99837,52354,14.0
32527,50393,21.0
105700,31055,16.0
19002,37771,15.0
49783,21618,11.0
13185,89084,26.0
66153,49670,31.0
95375,68460,20.0
11224,22090,18.0
69697,90822,20.0
1211,38710,25.0
2480,71451,15.0
121681,32101,15.0
54521,30202,18.0
50286,102630,17.0
67143,117732,17.0
54550,101005,0.0
69661,16296,0.0
102601,102781,33.0
34947,50621,24.0
4487,8725,17.0
35941,85451,16.0
50640,110478,11.0
16779,21393,18.0
57844,124049,26.0
24113,10829,24.0
51871,51946,29.0
24532,27067,17.0
42623,35917,11.0
96337,136922,17.0
25996,7866,21.0
8061,38743,17.0
55221,34519,18.0
66945,117131,24.0
26880,26889,28.0
44600,44593,19.0
20958,37149,14.0
33109,35818,25.0
10166,110438,19.0
10081,49335,14.0
57267,76747,29.0
38642,42164,24.0
50577,52793,19.0
44849,16991,40.0
77108,93734,32.0
95908,95764,21.0
802,107290,13.0
41869,70602,23.0
34854,35048,23.0
118214,112321,25.0
195,347,0.0
59731,30081,24.0
61716,58812,24.0
103274,107419,20.0
28126,11852,11.0
39013,128004,16.0
94161,9890,27.0
60628,14367,23.0
27589,109240,16.0
47405,85583,20.0
14754,14771,29.0
56721,14738,33.0
13242,22763,13.0
94034,78176,7.0
24262,48553,16.0
123421,40348,16.0
114037,96988,23.0
46161,74025,14.0
118017,125939,19.0
52145,44226,9.0
48740,13927,16.0
13410,10280,23.0
55963,125527,22.0
125374,7635,15.0
83639,129716,18.0
43333,27756,9.0
75262,80720,20.0
75421,17694,22.0
65994,103629,33.0
106533,41665,14.0
25021,43367,17.0
104533,25462,50.0
104543,104626,29.0
96247,80118,11.0
34754,39265,16.0
97628,74351,0.0
45016,69742,21.0
98038,86965,15.0
86462,75269,21.0
128698,60530,24.0
80961,65838,17.0
44571,15718,34.0
53858,37590,22.0
138338,32916,0.0
54372,101383,28.0
107313,60906,14.0
97087,92558,25.0
5479,15942,22.0
47244,74550,38.0
134566,14279,14.0
102369,68558,11.0
132301,136609,0.0
46837,16656,28.0
61886,117540,15.0
92933,91946,29.0
110995,6534,18.0
44859,76046,10.0
23539,102556,15.0
9763,1356,29.0
40321,11206,24.0
1291,33245,19.0
119503,115718,15.0
36149,137855,35.0
71286,134495,16.0
34933,25200,33.0
4668,34430,19.0
103608,75569,13.0
105879,86529,19.0
68765,23482,17.0
103398,58670,14.0
49008,95855,24.0
34291,52334,11.0
26051,114473,11.0
78067,118843,18.0
72644,7419,9.0
23214,84991,23.0
48870,71888,19.0
121092,112410,12.0
68223,90501,11.0
11114,10808,27.0
12054,12011,20.0
31798,93504,0.0
9804,9836,23.0
28312,28235,25.0
92114,73065,15.0
21236,65477,8.0
24842,27256,27.0
31559,54823,15.0
60348,26121,19.0
88537,29823,21.0
107194,60764,14.0
9912,94240,0.0
17482,77782,29.0
35954,17954,18.0
56301,58217,26.0
38850,33155,23.0
100269,117662,0.0
32390,7108,23.0
24140,89591,15.0
130321,138392,0.0
34680,79719,17.0
108321,64154,10.0
96437,51026,15.0
21973,42715,20.0
25801,626,25.0
6638,77302,15.0
17101,42271,27.0
46969,55612,8.0
81003,97997,19.0
66595,103411,19.0
99496,118454,20.0
41994,65925,22.0
3913,3918,16.0
7827,72710,14.0
6738,18358,26.0
135115,21906,8.0
130402,2332,8.0
121981,127065,0.0
12433,46431,18.0
8540,9122,19.0
42174,98751,24.0
40353,79145,27.0
72597,131477,0.0
40485,45329,19.0
84014,52651,18.0
28205,21792,26.0
8107,24662,16.0
138422,16850,22.0
79212,79213,12.0
61084,134223,15.0
88079,102195,15.0
133330,93280,8.0
51434,99932,25.0
30176,96452,8.0
122500,63319,18.0
43380,43506,34.0
53441,102202,19.0
27659,129696,6.0
9513,9621,24.0
118560,112953,15.0
102162,124876,12.0
90335,117927,19.0
76188,70691,15.0
18667,19372,19.0
22895,100152,0.0
17039,118271,0.0
88255,17946,10.0
44599,77855,17.0
69120,69202,27.0
53941,75059,0.0
16758,130094,9.0
77608,78546,24.0
2002,4120,29.0
94685,84192,23.0
64304,71661,14.0
91550,75641,17.0
18526,96868,20.0
47687,90306,15.0
27165,91218,11.0
82764,36622,22.0
3471,96226,0.0
73873,4984,21.0
75771,18993,23.0
63306,8896,12.0
16685,60908,0.0
70521,39103,22.0
106135,37226,12.0
20051,72124,14.0
72207,116947,10.0
111897,87035,11.0
118732,10600,15.0
59526,23655,21.0
31358,133049,23.0
58248,58257,21.0
4194,110960,16.0
102941,103980,15.0
58031,58911,0.0
67024,104764,16.0
6597,20778,23.0
104307,99557,25.0
11539,91375,31.0
4899,5571,19.0
83142,71215,13.0
81462,136222,8.0
104590,93400,15.0
135544,30736,17.0
18911,123676,11.0
33212,28188,10.0
92305,135750,14.0
114897,122757,19.0
108981,46655,13.0
44076,120528,25.0
76725,125639,16.0
90787,31702,19.0
52273,65957,11.0
120465,77579,0.0
43186,127357,15.0
58413,79924,23.0
67789,29010,17.0
45971,45545,29.0
26289,26285,21.0
43149,77536,26.0
54544,98960,23.0
104355,16619,19.0
23225,55727,19.0
22414,32203,0.0
17657,17596,33.0
2271,117999,14.0
92364,87970,0.0
93691,112562,22.0
54511,26434,17.0
27284,24493,19.0
95787,102549,18.0
22163,117228,12.0
9346,40145,20.0
127022,111480,14.0
19288,41098,19.0
54258,62582,19.0
76973,27469,17.0
30176,92445,0.0
39276,47260,13.0
49850,23086,0.0
68924,117821,10.0
101982,76304,21.0
42308,18196,24.0
46749,132492,20.0
50638,107998,16.0
105788,45004,14.0
70737,19012,12.0
27064,27925,13.0
110025,107935,19.0
13828,63647,38.0
10503,49472,18.0
64741,28665,12.0
72680,67362,14.0
73305,64699,32.0
45042,101407,29.0
35012,32017,0.0
74683,138198,0.0
3,70415,26.0
19986,9764,26.0
110128,37769,17.0
21046,70746,19.0
10728,49585,20.0
36824,89282,23.0
70929,75417,0.0
4912,47256,22.0
57537,50805,15.0
86373,52306,0.0
74036,45481,14.0
73707,22945,32.0
2541,13854,22.0
58592,95501,11.0
26921,104935,10.0
33145,33782,14.0
36673,74793,14.0
47498,47380,25.0
76244,27131,13.0
5041,18205,21.0
104754,115520,17.0
42953,47643,26.0
21568,117832,13.0
73748,22055,19.0
58148,15307,12.0
63035,121340,14.0
10496,26742,0.0
20659,20904,16.0
43055,119555,16.0
11912,37267,27.0
58106,123895,13.0
6297,58753,20.0
80122,30051,12.0
2177,9933,22.0
53081,60314,34.0
68130,86999,19.0
43727,83742,7.0
62326,41629,9.0
22978,112107,3.0
81950,132020,10.0
45121,110596,22.0
39203,93674,17.0
47193,86621,12.0
21200,130204,11.0
128569,128570,12.0
19412,109461,27.0
103070,76567,18.0
50993,856,9.0
74515,20205,0.0
82405,53627,23.0
131866,8345,17.0
88109,92367,12.0
28774,107781,22.0
47359,47727,0.0
106965,117999,8.0
124399,88541,18.0
130591,132849,0.0
32510,9375,15.0
46840,24511,27.0
9811,27759,22.0
27454,33932,15.0
136699,126250,14.0
79594,101045,17.0
71280,73966,20.0
75206,114934,14.0
115900,122517,16.0
86833,7589,0.0
103602,78821,12.0
81092,48617,13.0
54529,111698,19.0
32288,40142,28.0
66799,71058,0.0
134709,134220,0.0
128285,64752,17.0
74993,11181,19.0
19741,21913,32.0
377,45017,26.0
108563,128060,10.0
67423,14401,16.0
39841,77035,17.0
18946,118693,10.0
50688,103650,20.0
110729,4017,0.0
97185,102726,14.0
99556,81556,12.0
27642,48103,26.0
109576,11506,15.0
6826,72218,24.0
62413,14519,25.0
35379,32349,26.0
125652,125653,30.0
58103,25133,23.0
64182,18299,16.0
76440,10692,19.0
133977,5121,14.0
33229,10462,23.0
121386,130213,15.0
28163,113095,17.0
48878,89841,32.0
17838,47831,29.0
37317,89511,21.0
14586,131439,11.0
58530,11837,14.0
2228,21985,17.0
121076,47121,18.0
67780,113333,10.0
42777,17643,24.0
87830,116233,0.0
12941,24931,18.0
118091,48252,17.0
129897,23529,15.0
98233,3342,17.0
8855,99400,15.0
30239,106862,18.0
77776,18541,31.0
115861,117111,20.0
4833,49313,19.0
42905,33096,19.0
32140,121995,21.0
71961,6442,24.0
100251,136155,15.0
121056,67103,13.0
4390,74917,43.0
3181,71032,17.0
76573,29976,18.0
12480,96499,22.0
29974,42062,11.0
19253,22736,19.0
42154,81417,9.0
60841,55381,16.0
2078,1897,25.0
30832,36479,16.0
13385,46741,21.0
35604,60314,22.0
23908,94375,16.0
77012,81225,17.0
135957,43393,0.0
78552,25601,21.0
98722,98309,42.0
109266,109734,13.0
44164,117848,17.0
105463,101565,21.0
70856,60535,26.0
58283,98161,16.0
25866,107268,17.0
9782,70343,23.0
84390,84381,15.0
8921,50704,0.0
39988,28582,14.0
135960,42079,0.0
68100,68107,0.0
59306,16382,16.0
39010,45908,46.0
25616,20042,30.0
73524,77490,14.0
883,12851,27.0
43272,134579,12.0
106164,5702,13.0
105634,92316,14.0
44190,135822,19.0
16265,82470,24.0
83934,5055,15.0
54797,38622,16.0
44115,98161,11.0
60485,130182,18.0
8529,74834,11.0
98261,89920,6.0
66705,13007,17.0
114017,80666,19.0
98428,77789,17.0
34750,100267,15.0
92227,107702,17.0
77707,37858,22.0
67892,58685,27.0
45846,135136,27.0
120461,20200,21.0
128842,66741,23.0
6237,68827,0.0
28966,37297,31.0
63605,81351,17.0
44047,94887,23.0
82032,45300,19.0
76906,17340,21.0
121954,73349,17.0
132881,90272,20.0
84,35214,30.0
82403,64685,21.0
95404,51866,12.0
58091,25109,20.0
47657,85485,27.0
131931,35801,20.0
87598,36860,15.0
37586,10014,14.0
63848,1501,19.0
79065,123099,36.0
90987,124157,22.0
6098,70711,15.0
45505,45706,19.0
103088,7782,17.0
110034,48185,24.0
36171,117978,13.0
124341,90243,18.0
50252,43243,23.0
46215,17005,33.0
119869,132437,0.0
5614,17787,25.0
40648,53288,12.0
22763,59960,0.0
48100,35585,21.0
74403,74406,22.0
128713,107947,17.0
22484,138196,0.0
68809,88794,31.0
79506,101467,16.0
50148,93855,12.0
26486,137844,0.0
69435,51725,0.0
68280,57625,17.0
50495,35793,20.0
32453,11247,19.0
10692,133773,15.0
4071,4890,31.0
102691,104963,30.0
86443,18351,11.0
79258,74670,15.0
122371,138037,0.0
60929,100740,17.0
93538,127804,14.0
91715,133038,9.0
100390,122003,22.0
49110,93328,13.0
5083,63474,22.0
17807,27166,24.0
32285,17572,27.0
85249,56411,17.0
40639,12201,9.0
25910,81046,34.0
33501,48072,19.0
101813,9948,27.0
35515,57592,14.0
50167,13712,22.0
22144,114830,18.0
43401,74155,16.0
24946,43252,19.0
55339,25891,18.0
19300,81662,19.0
881,48046,14.0
137904,57736,11.0
105382,7128,24.0
11842,5666,40.0
1054,51791,18.0
131085,19668,20.0
6410,113725,11.0
24204,57896,23.0
127713,52724,29.0
63664,103961,28.0
11102,32804,21.0
37621,60903,10.0
111670,101621,18.0
30026,76332,29.0
8190,8193,16.0
93206,96447,15.0
50674,83920,18.0
67211,64587,13.0
36106,25563,24.0
47803,58302,19.0
11201,132028,15.0
57992,20827,0.0
49247,130898,0.0
93214,115019,17.0
107302,64518,20.0
3463,8944,15.0
42905,42912,26.0
76174,15552,15.0
110282,85110,27.0
11098,39627,15.0
18771,2897,14.0
88902,47976,20.0
40278,72912,0.0
125638,9983,14.0
46544,133150,13.0
41731,25560,34.0
5427,114006,16.0
19110,11487,17.0
20947,98418,21.0
36106,49096,27.0
90773,90784,0.0
20495,96827,5.0
127012,103415,13.0
25233,92047,22.0
17350,42128,19.0
76315,67426,20.0
25086,31043,15.0
74592,79667,28.0
125085,90478,22.0
29965,29659,27.0
35662,87046,11.0
22236,102641,12.0
32496,65562,15.0
12166,107643,29.0
13603,18668,18.0
48313,126342,10.0
9913,47818,26.0
1799,92799,20.0
75127,119943,15.0
120494,14306,16.0
4541,115008,0.0
62778,96570,18.0
135840,123004,15.0
57954,33433,26.0
62487,15868,20.0
86968,18910,16.0
64404,73363,26.0
54068,65744,22.0
23860,30255,24.0
51539,23871,17.0
102902,102904,17.0
134715,30916,17.0
68329,44942,23.0
22774,126550,15.0
